alternate_positions,avatar_url,common_name,first_name,id,last_name,league_name,nationality_image_url,nationality_label,overall_rating,player_abilities_images,player_abilities_labels,position_short_label,preferred_foot,shield_url,skill_moves,stat_acceleration,stat_aggression,stat_agility,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_jumping,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_stamina,stat_standingTackle,stat_strength,stat_vision,stat_volleys,team_image_url,team_label,weak_foot
CDM|CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p255253.webp,Vitinha,Vítor,255253,Machado Ferreira,Ligue 1 McDonald's,https://drop-assets.ea.com/images/3CxRD7XqY2NSlZ3628fY4S/abf38470644ee334e6a425b9272f7767/f_38.png,Portugal,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png|https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png|https://drop-assets.ea.com/images/6cWRgF7ajOw0RTRFA7DwBk/8286927d45e7f2cfbf1020799d054468/Technical_.png,Finesse Shot|Incisive Pass|Long Ball Pass|Tiki Taka|Intercept|Relentless|Technical+,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/255253_en.webp,4,75,77,91,89,88,88,78,81,75,74,90,91,80,69,12,13,8,5,5,52,85,66,89,84,72,86,88,70,81,88,80,90,77,69,69,87,79,59,90,62,https://drop-assets.ea.com/images/2QwnhmHh5K7bjkfZAF7ZCi/7c53874542fb5c606ff810a4b1f6b88b/l73.png,Paris SG,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p230621.webp,,Gianluigi,230621,Donnarumma,Premier League,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,89,https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png|https://drop-assets.ea.com/images/5IvxJa33W11EFxBbwHZmFL/e359704e2f786f11087031b55563647f/Deflector_.png,Footwork|Deflector+,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230621_en.webp,1,50,30,57,38,30,54,12,12,52,21,90,28,12,14,90,83,70,87,90,12,26,73,34,18,90,70,24,87,14,87,83,36,53,16,55,41,14,75,60,8,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Manchester City,3
CDM|CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p251854.webp,Pedri,Pedro,251854,González López,LALIGA EA SPORTS,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,89,https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/2tvHC5JQ2sXrN8wUTJWLEA/94b0f6a78d1a9e1348a33c9772f23afd/Tiki_Taka.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png|https://drop-assets.ea.com/images/25f6Natq9IszUKRAVJb3s8/10a1084994c7ad20fd41280fc0ff18b3/First_Touch_.png,Incisive Pass|Long Ball Pass|Tiki Taka|Technical|Relentless|First Touch+,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251854_en.webp,4,79,72,89,92,91,90,76,79,78,74,91,91,77,62,12,7,11,8,8,50,87,72,88,76,77,85,53,77,86,87,73,90,68,79,76,90,85,73,91,56,https://drop-assets.ea.com/images/5VXhqALaBzgvb2YG8iJxlq/990024f3e3ecc9e6c37eae41ebef86bd/l241.png,FC Barcelona,4
RB|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p212622.webp,,Joshua,212622,Kimmich,Bundesliga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png|https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png|https://drop-assets.ea.com/images/59ogaJFyi7JRTBfMF1MBHf/e7fe84a1da6b070a6a41460257b9ec59/Long_Ball_Pass_.png,Finesse Shot|Whipped Pass|Anticipate|Press Proven|Relentless|Long Ball Pass+,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212622_en.webp,3,75,89,83,84,86,86,92,85,83,82,84,82,68,79,8,15,7,15,15,72,85,77,92,83,72,89,71,79,78,89,74,89,78,85,70,92,86,69,86,69,https://drop-assets.ea.com/images/3p0dv1pGWIH6lGAKZssZKH/4f70d2c5a3c147f3e006c863e85e4993/l21.png,FC Bayern München,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p212831.webp,Alisson,Alisson,212831,Ramses Becker,Premier League,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,89,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png|https://drop-assets.ea.com/images/6nb9RYWNVuvUaLZDskFao7/0ad930b0874e7c9454b31de942c0d3f1/Deflector.png|https://drop-assets.ea.com/images/2Dob5ZWyGDwaPtaOdJQDqT/a2ec208993396b49fcbd9fd959a72fc2/1v1_Close_Down_.png,Far Throw|Deflector|Rush Out+,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212831_en.webp,1,60,27,40,37,42,66,17,19,56,15,89,27,13,18,86,85,86,90,89,29,11,82,58,14,86,86,23,90,13,87,85,60,65,16,49,32,19,78,66,20,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Liverpool,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p202126.webp,,Harry,202126,Kane,Bundesliga,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,89,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/4KwpQLGCfHPMd9oq5Xl42z/2101ac72c690fd36205fb9c6dbac6bd1/Finesse_Shot_.png,Precision Header|Low Driven Shot|Gamechanger|Long Ball Pass|First Touch|Finesse Shot+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/202126_en.webp,3,62,80,67,72,87,92,80,82,48,46,82,80,93,69,8,10,11,14,11,90,42,87,79,89,64,83,95,82,94,94,92,86,91,38,66,76,44,86,86,89,https://drop-assets.ea.com/images/3p0dv1pGWIH6lGAKZssZKH/4f70d2c5a3c147f3e006c863e85e4993/l21.png,FC Bayern München,4
CDM|RB,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p239053.webp,,Federico,239053,Valverde,LALIGA EA SPORTS,https://drop-assets.ea.com/images/GRwJwZ17RfDveZX4N4L78/25beda9babb2d93a8ff7bb5487eb263b/f_60.png,Uruguay,89,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png|https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png|https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/3hFTQQe2XXOx9eQjAFTAPF/48efd1569027da6e1c5e65259211febb/Relentless_.png,Power Shot|Long Ball Pass|Intercept|Slide Tackle|Aerial Fortress|Rapid|Relentless+,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239053_en.webp,3,84,81,77,68,88,84,78,76,83,82,84,84,80,69,6,10,6,15,8,63,86,82,88,91,88,84,59,85,86,89,84,88,91,86,92,93,87,82,86,78,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,Real Madrid,4
ST|LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p238794.webp,Vini Jr.,Vinícius José,238794,de Oliveira Júnior,LALIGA EA SPORTS,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/6Gl08kt7odn1fJNX74CS2P/984feac3cd8d99902f5cb5131d5fd26a/Chip_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/44zHnq7IqO4ItY3NPzXNEC/d7fc408baa76e8ba053cd69e0a1a51c4/Quick_Step_.png,Finesse Shot|Chip Shot|Gamechanger|Inventive|Rapid|First Touch|Quick Step+,LW,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238794_en.webp,5,95,58,94,84,90,83,81,79,29,32,91,93,88,62,5,7,7,7,10,50,26,74,77,83,95,81,74,69,86,85,84,83,81,18,95,84,25,65,85,73,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,Real Madrid,4
ST|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p256630.webp,,Florian,256630,Wirtz,Premier League,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/6Gl08kt7odn1fJNX74CS2P/984feac3cd8d99902f5cb5131d5fd26a/Chip_Shot.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/3AFfBi6PkSPh9YdlmsS9iY/944496273003729dbef5a91426506cf4/Incisive_Pass_.png,Finesse Shot|Chip Shot|Low Driven Shot|Inventive|Technical|First Touch|Incisive Pass+,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256630_en.webp,4,82,63,88,87,92,86,87,83,54,64,90,90,84,74,14,14,13,6,10,43,55,65,87,84,80,88,66,67,85,88,82,91,78,44,79,87,49,59,91,81,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Liverpool,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p192119.webp,,Thibaut,192119,Courtois,LALIGA EA SPORTS,https://drop-assets.ea.com/images/7eZLPoDDyxSlQoqcS4NVA2/6fc085dc7e85ccd7519be7ff2df875ee/f_7.png,Belgium,89,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png|https://drop-assets.ea.com/images/4wwnzFkg1zLTAc4QSsXiWO/5fa897cf739a93bddf3556e2323f9b8b/1v1_Close_Down.png|https://drop-assets.ea.com/images/5aYaAtUsJBRaGEHAuv9OxW/bb12d221a86b53e4e13e2afe57457114/Cross_Claimer_.png,Far Throw|Rush Out|Cross Claimer+,GK,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192119_en.webp,1,42,23,63,45,23,66,14,19,46,20,90,13,14,20,85,89,76,88,90,13,15,68,35,17,85,76,27,88,13,88,89,33,57,16,52,38,18,70,44,12,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,Real Madrid,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p188545.webp,,Robert,188545,Lewandowski,LALIGA EA SPORTS,https://drop-assets.ea.com/images/2ldG0tWskgN4waD1fBmnk1/24cbe80f6af25d3ab745fd339b024988/f_37.png,Poland,88,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/4dubNf6b2DxdV1MvuUmd14/d4bbc70640a199b15745946057572ff1/Chip_Shot_.png,Finesse Shot|Power Shot|Precision Header|Low Driven Shot|Incisive Pass|First Touch|Chip Shot+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/188545_en.webp,4,73,81,77,83,88,87,76,79,44,35,85,84,92,84,15,6,12,8,10,87,49,91,70,82,74,79,90,84,90,89,89,84,89,19,74,76,42,89,81,86,https://drop-assets.ea.com/images/5VXhqALaBzgvb2YG8iJxlq/990024f3e3ecc9e6c37eae41ebef86bd/l241.png,FC Barcelona,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231478.webp,,Lautaro,231478,Martínez,Serie A Enilive,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,88,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png|https://drop-assets.ea.com/images/2sNQz8b9dgV0hW8vl7oOvV/d7a503dbd4c73b232055b3ca06aa88eb/Enforcer.png|https://drop-assets.ea.com/images/4weDkEpJXhmum7QkyBkRFC/42c3b090cd6842f23c00f9057edaef3c/Gamechanger_.png,Power Shot|Precision Header|Incisive Pass|Technical|Relentless|Enforcer|Gamechanger+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231478_en.webp,4,83,87,88,87,84,88,68,84,51,45,84,81,93,65,11,8,8,8,13,86,48,91,72,80,81,75,74,83,93,92,88,78,87,45,80,86,50,80,79,92,https://drop-assets.ea.com/images/1thPMvXN97JgFvt6ASWr4c/d2ca0a691a98c344305bc0975ab70314/l131682.png,Lombardia FC,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p233731.webp,,Alexander,233731,Isak,Premier League,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,Sweden,88,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/4KwpQLGCfHPMd9oq5Xl42z/2101ac72c690fd36205fb9c6dbac6bd1/Finesse_Shot_.png,Power Shot|Low Driven Shot|Gamechanger|Rapid|First Touch|Finesse Shot+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233731_en.webp,4,86,58,73,69,87,88,68,75,39,35,85,88,91,64,7,6,9,7,11,82,38,90,60,83,83,73,86,76,89,87,89,79,91,29,80,82,34,79,80,81,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Liverpool,4
LM|CM|ST,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p256790.webp,,Jamal,256790,Musiala,Bundesliga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,88,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/47Ygd5ri33RgjIYGiTAJpj/f0723e6f2f89a98fb6e8200c3659c6a9/Trickster.png|https://drop-assets.ea.com/images/6cWRgF7ajOw0RTRFA7DwBk/8286927d45e7f2cfbf1020799d054468/Technical_.png,Precision Header|Low Driven Shot|Gamechanger|Incisive Pass|Inventive|Trickster|Technical+,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256790_en.webp,5,85,59,94,93,85,83,70,75,66,64,90,94,86,59,6,9,8,8,11,75,65,80,79,82,80,80,61,65,88,89,82,87,80,61,75,73,66,61,84,75,https://drop-assets.ea.com/images/3p0dv1pGWIH6lGAKZssZKH/4f70d2c5a3c147f3e006c863e85e4993/l21.png,FC Bayern München,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p232580.webp,Gabriel,Gabriel,232580,dos S. Magalhães,Premier League,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,88,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/6bmh6DEgcusgxP72p2dudl/700d6fffd8b2e792e6cd7fd02fb88314/Bruiser_.png,Precision Header|Bruiser+,CB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232580_en.webp,2,61,86,51,37,71,79,42,57,88,89,65,64,37,31,12,8,13,10,7,90,87,88,76,39,64,64,51,84,52,88,44,79,62,87,67,71,88,89,63,33,https://drop-assets.ea.com/images/2ng99bvkwKaA228PJje39i/09d2df89a78377d3f8d3f78469cbadc9/l1.png,Arsenal,2
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p246669.webp,,Bukayo,246669,Saka,Premier League,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,88,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/5m8PmfQfBiA1HRsIPRGgJ4/fd22942ce1c5fa608227ea0573a9e339/Whipped_Pass_.png,Finesse Shot|Technical|Whipped Pass+,RW,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246669_en.webp,3,87,68,85,88,88,82,90,88,60,60,88,89,84,74,7,8,13,9,13,49,62,72,77,81,84,85,87,73,86,88,82,85,79,60,81,86,62,68,86,79,https://drop-assets.ea.com/images/2ng99bvkwKaA228PJje39i/09d2df89a78377d3f8d3f78469cbadc9/l1.png,Arsenal,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p200389.webp,,Jan,200389,Oblak,LALIGA EA SPORTS,https://drop-assets.ea.com/images/7g3QsAB4Ce0F2e92zozHCn/f34a8e91070d8151b1ce1330ca59b062/f_44.png,Slovenia,88,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png|https://drop-assets.ea.com/images/7zbtymM2pCbANuM7wKFYZU/698e8ece65867df97e61189ac6666463/Far_Reach.png|https://drop-assets.ea.com/images/5aYaAtUsJBRaGEHAuv9OxW/bb12d221a86b53e4e13e2afe57457114/Cross_Claimer_.png,Far Throw|Far Reach|Cross Claimer+,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/200389_en.webp,1,42,36,64,48,30,68,13,13,46,27,87,12,11,14,85,90,78,86,87,15,24,72,40,12,85,78,11,86,11,85,90,43,59,18,53,42,14,78,67,13,https://drop-assets.ea.com/images/vYcueolPvaGx8blMqhPZ5/5dc3479fc8b85d475fd980c53fc2056f/l240.png,Atlético de Madrid,3
RM|ST,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p257534.webp,,Cole,257534,Palmer,Premier League,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,87,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/Qx6cJsPc8kg3lW5RIg03U/74548115e8b21760437ee6012b8d2709/Inventive_.png,Finesse Shot|Low Driven Shot|Gamechanger|Incisive Pass|Technical|First Touch|Inventive+,CAM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257534_en.webp,4,76,55,80,78,89,89,85,86,50,50,87,87,82,81,7,6,10,14,14,60,50,71,86,85,75,87,90,65,87,88,83,87,85,40,75,83,50,60,89,70,https://drop-assets.ea.com/images/6T0vfhzb3y9R6YVtmVwYcD/b99723a87536e30979c7cbdb8bba9310/l5.png,Chelsea,3
